FIPS, State Name, Month, Date, Trump, Cruz, Kasich
US01, Alabama, 03, 01, 43.4, 21.1, 4.4
US02, Alaska, 03, 01, 33.5, 36.4, 4.1
US04, Arizona, 03, 22, 47.1, 24.9, 10.0
US05, Arkansas, 03, 01, 32.8, 30.5, 3.7
US06, California, 6, 7, 0, 0, 0
US08, Colorado, 3, 1, 0, 0, 0
US09, Connecticut, 4, 26, 0, 0, 0 
US10, Delaware, 4, 26, 0, 0, 0
US11, District of Columbia, 6, 14, 0, 0, 0
US12, Florida, 03, 15, 45.7, 17.1, 6.8
US13, Georgia, 03, 01, 38.8, 23.6, 5.6
US15, Hawaii, 03, 08, 42.4, 32.7, 10.6
US16, Idaho, 03, 08, 28.1, 45.4, 7.4
US17, Illinois, 03, 15, 38.8, 30.3, 19.7
US18, Indiana, 5, 3, 0, 0, 0
US19, Iowa, 02, 01, 24.3, 27.6, 1.9
US20, Kansas, 03, 05, 23.3, 48.2, 10.7
US21, Kentucky, 03, 05, 35.9, 31.6, 14.4
US22, Louisiana, 03, 05, 41.4, 37.8, 6.4
US23, Maine, 03, 05, 32.6, 45.9, 12.2
US24, Maryland, 4, 26, 0, 0, 0
US25, Massachusetts, 03, 01, 49.3, 9.6, 18.0
US26, Michigan, 03, 08, 36.5, 24.9, 24.3
US27, Minnesota, 03, 01, 21.3, 29.0, 5.8
US28, Mississippi, 03, 08, 47.3, 36.3, 8.8
US29, Missouri, 03, 15, 40.9, 40.7, 9.9
US30, Montana, 06, 07, 0, 0, 0
US31, Nebraska, 05, 10, 0, 0, 0
US32, Nevada, 02, 23, 45.9, 21.4, 3.6
US33, New Hampshire, 02, 09, 35.3, 11.7, 15.8
US34, New Jersey, 06, 07, 0, 0, 0
US35, New Mexico, 06, 07, 0, 0, 0
US36, New York, 04, 19, 0, 0, 0
US37, North Carolina, 03, 15, 40.2, 36.8, 12.7
US38, North Dakota, 06, 07, 0, 0, 0
US39, Ohio, 03, 15, 35.6, 13.1, 46.8
US40, Oklahoma, 03, 01, 28.3, 34.4, 3.6
US41, Oregon, 05, 17, 0, 0, 0
US42, Pennsylvania, 04, 26, 0, 0, 0
US44, Rhode Island, 04, 26, 0, 0, 0
US45, South Carolina, 02, 27, 32.5, 22.3, 7.6
US46, South Dakota, 06, 07, 0, 0, 0
US47, Tennessee, 03, 01, 38.9, 24.7, 5.3
US48, Texas, 03, 01, 26.7, 43.8, 4.2
US49, Utah, 03, 22, 14.0, 69.2, 16.8
US50, Vermont, 03, 01, 32.7, 9.7, 30.4
US51, Virginia, 03, 01, 34.7, 16.9, 9.4
US53, Washington, 05, 24, 0, 0, 0
US54, West Virginia, 05, 10, 0, 0, 0
US55, Wisconsin, 04, 05, 0, 0, 0
US56, Wyoming, 03, 13, 7.2, 66.3, 0.0

